name,category_id
"Web","1001"
"logo","1001"
"Mockup","1001"
"Template","1001"
"Photo","1002"
"Carte de visite","1002"
"Plan d'architecture","1002"
"Flyer & prospectus","1002"
"Logo","1002"
"Bande dessiné","1002"
"Coloriage","1002"
"Modelisation 2D/3D","1002"
"Site web security","1003"
"Antivirus","1003"
"Hacking","1003"
"Application web","1004"
"SQL/Postgresql/MongoDB","1004"
"Referencement et SEO","1004"
"E-commerce","1004"
"Site web simple","1004"
"Refonte de site web","1004"
"Mis à jour site web","1004"
"Scanner de performance","1004"
"Facebook","1005"
"Twitter","1005"
"Instagram","1005"
"Linkedin","1005"
"Veille numerique","1005"
"Tik Tok","1005"
"Publicité","1005"
"Youtube","1005"
"Sport","1006"
"Motivation","1006"
"Recherche d'emploi","1006"
"Recherche de client","1006"
"Trading","1006"
"Hitoire et philosophie","1006"
"Langue","1006"
"Musique","1006"
"Revenu passif","1006"
"E-commerce passif","1006"
"Autres","1006"
"Entrainement d'IA","1007"
"Data","1007"
"API","1007"
"Seduction","1008"
"Amour","1008"
"Cuisine","1008"
"Immobilier","1008"
"Jeux video","1008"
"Blagues","1008"
"Spiritualité","1008"
"Soutient scolaire","1008"
"Astronomie et vision","1008"
"Alimentation et santé","1008"
"Beauté et mode ","1008"
"Amitié et écoute","1008"
"Fêtes et sortie","1008"
"Voyage","1008"
"Création d'entreprise","1009"
"Developper vos ventes","1009"
"Comptabilité","1009"
"Google my business","1009"
"Comminucation","1009"
